nazwa;ticker;ISIN
MIDVEN;MID;PLMIDVN00017
MILESTONE;MMD;USU6005B1045
MILKILAND;MLK;NL0009508712
MILKPOL;MLP;PLMLKPL00012
MINERAL;MND;PLMNRLM00010
MINOX;MNX;PLMINOX00010
MIRACULUM;MIR;PLKLSTN00017
MIRBUD;MRB;PLMRBUD00015
MLSYSTEM;MLS;PLMLSTM00015
MLPGROUP;MLG;PLMLPGR00017
MMCPL;MMC;PLMMCNF00014
MOBIMEDIA;MMS;PLARTBM00013
MOBRUK;MBR;PLMOBRK00013
MODE;MOE;PLMODE000019
MODECOM;MOD;PLMDCOM00017
MODERNCOM;MCE;PLAIRMK00017
LSTECHHOM;LSH;PLLSTHM00015
MOJ;MOJ;PLMOJ0000015
MOL;MOL;HU0000153937
MOMO;MOM;PLMOMO000016
MONNARI;MON;PLMNRTR00012
MOSTALPLC;MSP;PLMSTPL00018
MOSTALWAR;MSW;PLMSTWS00019
MOSTALZAB;MSZ;PLMSTZB00018
MOTORICUS;MTR;PLOPONX00011
MOVIEGAMES;MOV;PLMVGMS00011
MPAY;MPY;PLMPAY000017
MPLVERBUM;VER;PLMPLVR00016
HAMBURGER;MRH;PLLSNRN00015
MTRANS;MTS;PLMTRNS00010
MUZA;MZA;PLMUZA000019
GREENENER;GRE;PLDBBGR00017
MORIZON;MZN;PLMORZN00016
NANOGROUP;NNG;PLNNGRP00011
NAVIMORIN;NIN;PLNVMRI00017
NEPTIS;YAN;PLNEPTS00011
NESTMEDIC;NST;PLNSTMD00010
NETIA;NET;PLNETIA00014
NETMEDIA;NEM;PLNTMDA00018
NETWISE;NTW;PLNETWS00017
NEUCA;NEU;PLTRFRM00018
NEWWORLDR;NWR;GB00B42CTW68
NEWAG;NWG;PLNEWAG00012
NEXTBIKE;NXB;PLNXTBK00018
NORTCOAST;NCT;PLNRTHC00014
NOTORIA;NTS;PLNTRSW00019
NOVATURAS;NTU;LT0000131872
NOVAVIS;NVV;PLNVVIS00016
NOVINA;NOV;PLBABY000016
NOVITA;NVT;PLNVITA00018
NFPL;NFP;PLNWCFR00012
NTTSYSTEM;NTT;PLNTSYS00013
NWAI;NWA;PLNWAI000017
08OCTAVA;08N;PLNFI0800016
ODLEWNIE;ODL;PLODLPL00013
OEX;OEX;PLTELL000023
OAT;OAT;PLONCTH00011
ONEMORE;OML;PLLSRMD00018
ONICO;ONC;PLONCTR00028
OPENFIN;OPF;PLOPNFN00010
OPONEO.PL;OPN;PLOPNPL00013
OPTEAM;OPM;PLOPTEM00012
OPTIZENLB;OPT;PLTLCMD00018
ORANGEPL;OPL;PLTLKPL00017
ORBIS;ORB;PLORBIS00014
ORCOGROUP;OPG;LU0122624777
ORGANIC;ORG;PLORGNK00010
ORION;ORN;PLORION00018
ORPHEE;ORP;CH0197761098
ORZBIALY;OBL;PLORZBL00013
ORZLOPONY;ORL;PLORZL000019
OTLOG;OTS;PLODRTS00017
OUTDOORZY;OUT;PLOUTDR00013
OVOSTAR;OVO;NL0009805613
PANOVA;NVA;PLPANVA00013
PAMAPOL;PMP;PLPMPOL00031
PARCELTEC;PTE;PLBMRNG00013
PARTNER;PRN;PLPRNRH00010
PASSUS;PAS;PLPSSUS00018
PATFUND;PFD;PLWKPRK00010
PATENTUS;PAT;PLPTNTS00019
PBG;PBG;PLPBG0000029
PBSFINANSE;PBF;PLBEFSN00010
PCGUARD;PCG;PLGUARD00019
PCCEXOL;PCX;PLPCCEX00010
PCCROKITA;PCR;PLPCCRK00076
PEIXIN;PEX;NL0010577052
PFMEDICAL;PFM;PLGURDR00013
PETROLINV;OIL;PLPTRLI00018
PFLEIDER;PFL;PLZPW0000017
